text;created_at;user_name;comment_number;retweet_number;quote_tweet_number;like_number
[#Parleznoustélémédecine] Gérard Raymond, président de @FAS_National, récompense le Dr Nicolas de Chanaud, médecin généraliste et son équipe pour leur vidéo sur la téléconsultation à domicile pour les aînés. ;01/04/2022;Antonin6;16;0;0;0
#Stats2021 An introduction to the statistical methods used for the design, conduct and analysis of cancer #clinicaltrials. Join us 7-10 Dec 2021 ;01/02/2022;Gabriel22;0;0;0;0
Involved cancer patients should read this excellent article on IDMCs by @schoffski  We have the opportunity to support this work as patients, but must develop the skillsets needed. @EORTC @NCRI_partners  ;01/01/2022;Rafael2011;0;0;0;0
#Stats2021 Want to develop the statistical knowledge required to better understand today’s cancer clinical trials? Join us in Brussels 7-10 Dec 2021 ;01/04/2022;Enzo12;0;0;0;0
Event of interest!  @EconomistEvents 7th Annual World Cancer Series Europe will convene 2000+ policymakers, healthcare providers, industry, and patient groups to dialogue from 8-11 November, 2021.  Among those speakers, @EORTC 's Honorary President, HRH Princess @dinamired! ;01/04/2022;Anaïs2010;0;0;0;0
Since 1962, the #EORTCBreastCancerGroup has been challenging, redefining and developing standards of care in all controversial areas of #breastcancer diagnosis and #therapy.   #BreastCancerAwarenessMonth #BreastCancer    More: ;01/04/2022;Pauline2017;0;0;0;0
Last Day to participate!  Don't forget to register to our webinar for experts with  @BIGagainstBC on October 26!  Register now: ;01/02/2022;Lucie11;0;0;0;0
#EBCC13 EARLY BIRD RATE DEADLINE TOMORROW (22 Oct): Will you join us in Barcelona? Register Now ;01/02/2022;Alicia2013;0;0;0;0
Don't forget to register to our webinar for experts with @BIGagainstBC on October 26!  During one hour, our tree speakers will address the topic of early breast cancer treatment.   Register now: ;01/02/2022;Charlotte2011;0;0;0;0
Job alert!  We are looking for a new Lead CRA to join our not-for-profit organisation in Brussels.  If you are passionate, enthusiastic and have previous experience as a CRA, don't wait to apply!  More info here 👉: ;01/02/2022;Enzo2014;85;425;0;2975
Read now the article in @ImmunoInsights by and Dr Henoch Hong, Dr Robin Liechti and Dr Marie Morfouace, Senior Translational Research Scientist @EORTC.  Yes, IMMUcan! Unraveling the human tumor microenvironment: ;01/02/2022;Agathe2017;0;0;0;0
Last day to register!   Join @EORTC - @BIGagainstBC webinar addressed to the general public to hear Dr Frederieke van Duijnhoven, breast surgical oncologist, speak about oligometastatic disease.   More info: ;01/04/2022;Gaspard11;13;0;18;0
Don't miss @EORTC member Stéphanie Kromar's presentation tomorrow during the #ESMO21 Public Policy Webinar on the Clinical Trials Regulation and its Impact on Oncology.  ⏰12 October 2021, 13:00-14:00 CEST More info &amp  registrations: ;01/03/2022;Romain8;0;0;0;0
Phase 2 results from our #TMB harmonization project out now in @Annals_Oncology - Aligning Tumor Mutational Burden (TMB) quantification across diagnostic platforms. Big thank you to all of our collaborators! Click through to access the pre-proof read: ;01/05/2022;Lyne;0;0;0;0
One week left before our webinar with @BIGagainstBC on Metastatic Breast Cancer!  Eva Schumacher-Wulf, Editor in Chief of breast cancer magazine @MammaMiaMagazin will share with us her story with MBC, don't wait to register!  More info: ;01/03/2022;Mathilde2014;0;0;0;0
Save the date!  Today is the first day of Breast Cancer Awareness Month! On this occasion, register now to the @BIGagainstBC -@EORTC free webinar for experts on October 26.  Registrations: ;01/03/2022;Elsa2012;0;0;0;0
There's still time left to register to our webinar with @BIGagainstBC about Metastatic Breast Cancer! Join us on October 13 to learn more about this topic.   Among our speakers, Dr Philippe Aftimos will talk about the AURORA research programme.  More info: ;01/02/2022;Paul16;30;0;0;0
Job Alert!  We are looking for a Legal Expert in Clinical Research to join our non-profit organisation in Brussels!  Interested to join the #CancerResearch field? Apply now!  👉;01/03/2022;Olivia2010;0;0;0;0
@EORTC 1508 study presented by @BanerjeeSusana at #ESMO21  👉 ;01/04/2022;Alicia10;0;0;0;0
Register now to @EORTC - @BIGagainstBC webinar addressed to the general public!  Among our speakers, prof Fatima Cardoso, director of the Breast Unit of the Champalimaud Clinical Center, will give us an overview on metastatic breast cancer.   More info: ;01/02/2022;Baptiste15;72;0;0;0
The video of our webinar Clinical Trials: the patient in academic studies is now available!  View here: ;01/04/2022;Anaïs9;0;0;0;0
Congratulations to @nicogirardcurie for his oral presentation of the results from the @EORTC -@ETOP_eu NIVOTHYM phase II trial at #ESMO21!   ⏰ September 17, 14:10 - 14:20 CEST ESMO full programme: ;01/03/2022;Gabriel2010;0;0;0;0
Don't miss out on the oral presentation of @EORTC member @BanerjeeSusana at #ESMO21 about the principal results of the EORTC-1508 trial!  ⏰September 17, 13:30 - 13:40 CEST ESMO 2021 Programme: ;01/02/2022;Youssef6;0;0;0;0
Last day to register to our free webinar for lay audience: Clinical trials: the patient in academic studies!   ⏰ September 15, 1.30-2.30pm CET  Don't forget to register here 👉: ;01/01/2022;Ella2013;0;0;0;0
Job alert!   We are looking for a Junior Clinical Operations Manager to join our non-profit organisation in Brussels.   Interested in cancer research?   Don't wait to apply! 👉 ;01/02/2022;Mathias5;49;0;0;0
Thoughts on the changing role of neurosurgery for brain metastases in the era of personalized medicine - now out in European Journal of Cancer @EORTC   ;01/03/2022;Maëlys2012;77;77;0;308
Don't miss the @cddf_eu free webinar with @EORTC member Dr Jan Bogaerts on September 23rd to learn about data collection during the COVID-19 pandemic.   ⏰23 September 2021 at 18:00-19:00 CEST. Register here: ;01/03/2022;Robin2018;0;0;0;0
REMINDER: only one week before our free webinar about Clinical trials: the patient in academic studies!  Don't forget to register here 👉: ;01/04/2022;Noam5;0;0;0;0
🤩 Registration to the ESOI-EORTC workshop in Bordeaux/FR in November 2021 is open! Take the chance now and be part of this special event 🎉  📝A reduced rate is being offered to ESOI and @EACR members ;01/04/2022;Faustine2011;0;0;0;0
Registrations are open!   Don't miss our free webinar for lay people on October 13.  Register here: ;01/01/2022;Antoine16;0;0;0;0
Don't miss out on the Best of both world virtual symposium organised by @LUMC_Leiden on the occasion of the inaugural speech of prof. dr. R.L.M. Haas.  Free registration: ;01/02/2022;Soline;103;515;0;6180
